id,lnval,v_out_b,ber_y2k,lnC_raw_zero,lnL,ost,pcwork,ums03,mkost_vh,branche1,branche2,branche3,branche4,branche5,branche6,branche7,branche8,branche9,branche10,branche11,branche12,branche13,branche14
1,3.3741822,0,0,3.9628875,3.7854154,0,5,3725.084,.30000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,-999,-999,0,-999,2.2435431,0,80,-999,-999,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,-999,0,1,-999,6.6313076,0,50,-999,-999,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,4.5300212,0,0,5.3668895,3.5978253,0,50,14635.903,.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-999,1,1,3.9292572,2.4118197,0,90,24374.32,-999,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,-999,1,0,0,2.5122969,0,100,9890.001,-999,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,-999,0,1,8.8533478,3.815433,0,5,-999,-999,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,4.3638239,0,-999,7.1470594,3.0028143,0,35,2762.8579,.34999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,4.6030483,0,0,4.1810417,2.6985183,0,15,1120.2472,.30000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,-999,0,1,-999,5.4358649,0,100,-999,.029999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,5.7140479,0,0,6.071734,2.128819,0,80,1586.7466,.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,4.3342085,1,0,2.4059811,2.0453908,0,20,539.34216,.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,4.0230932,0,0,7.0529509,6.0884738,0,30,97602.602,.50999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,4.6032391,0,1,8.517127,5.4731164,0,50,75511.961,.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4.4937768,0,1,8.527792,5.7762017,0,17,68953.609,.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,-999,0,1,-999,7.1935229,0,25,-999,-999,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,4.1231265,0,0,5.2686305,1.5326376,1,75,393.30212,.15000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,4.3455443,0,1,5.8998818,2.8130333,1,100,832.95801,.0099999998,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,3.6800847,0,1,7.2487173,5.4737582,0,30,14312.55,.40000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,-999,0,-999,0,3.1913786,0,90,-999,-999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4.3544288,0,1,7.1681337,6.3283172,0,50,68530.047,.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-999,0,1,1.9236306,2.389225,1,8,473.95612,-999,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,4.2601433,0,1,7.1885452,4.2782021,0,5,5616.9033,.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,-999,0,1,-999,5.9887919,0,10,-999,-999,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,-999,1,1,-999,3.2465677,0,50,-999,.57999998,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,3.4356625,0,1,4.7635641,2.7970517,0,33,2779.2793,.30000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,-999,0,0,-999,4.4940772,1,75,-999,.15000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,-999,1,0,4.3601003,5.0515046,0,25,29069.832,-999,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,4.8474789,0,0,6.9611173,4.4163651,0,50,15909.366,.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,4.1439767,1,0,3.2193191,3.9752934,0,8,1405.0947,.25999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,3.8926647,1,1,3.4453492,2.0337553,1,20,528.89441,.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,4.1012397,0,0,1.9232298,1.4175936,0,10,2437.4319,.69999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,3.8335626,0,1,9.959218,7.038487,0,13,147077.09,.60000002,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,-999,-999,0,0,.93302882,1,0,-999,-999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
